time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
6.757864979022333e-07	4.246096e-03	2.182763e-05
1.351572995804467e-06	8.492182e-03	7.317935e-05
2.027359493706700e-06	1.273826e-02	1.540551e-04
2.703145991608933e-06	1.698433e-02	2.644550e-04
3.378932489511167e-06	2.123038e-02	4.043789e-04
4.054718987413400e-06	2.547643e-02	5.738270e-04
4.730505485315632e-06	2.972247e-02	7.727991e-04
8.054698314267484e-06	5.060830e-02	2.074222e-03
1.301374645925757e-05	8.176414e-02	4.999806e-03
1.954706697703224e-05	1.228055e-01	1.037537e-02
2.846842768206137e-05	1.788343e-01	1.994754e-02
3.989273175916737e-05	2.505485e-01	3.495441e-02
5.497354295834776e-05	3.451343e-01	5.782116e-02
7.433304609448087e-05	4.663694e-01	8.974390e-02
1.001076833879641e-04	6.273374e-01	1.333286e-01
1.294045583879641e-04	8.094941e-01	1.814947e-01
1.587014333879641e-04	9.905538e-01	2.264156e-01
1.879983083879641e-04	1.170271e+00	2.671717e-01
2.172951833879641e-04	1.348402e+00	3.035806e-01
2.465920583879641e-04	1.524706e+00	3.357764e-01
2.758889333879641e-04	1.698944e+00	3.640120e-01
3.051858083879641e-04	1.870879e+00	3.885731e-01
3.344826833879642e-04	2.040278e+00	4.097423e-01
3.637795583879642e-04	2.206913e+00	4.277853e-01
3.930764333879642e-04	2.370557e+00	4.429459e-01
4.223733083879642e-04	2.530988e+00	4.554456e-01
4.516701833879643e-04	2.687989e+00	4.654850e-01
4.809670583879643e-04	2.841347e+00	4.732456e-01
5.102639333879643e-04	2.990854e+00	4.788912e-01
5.395608083879643e-04	3.136308e+00	4.825702e-01
5.688576833879644e-04	3.277512e+00	4.844174e-01
5.981545583879644e-04	3.414274e+00	4.845550e-01
6.274514333879644e-04	3.546409e+00	4.830945e-01
6.567483083879644e-04	3.673737e+00	4.801374e-01
6.860451833879645e-04	3.796087e+00	4.757771e-01
7.153420583879645e-04	3.913292e+00	4.700993e-01
7.446389333879645e-04	4.025194e+00	4.631830e-01
7.739358083879645e-04	4.131641e+00	4.551011e-01
8.032326833879646e-04	4.232488e+00	4.459217e-01
8.618264333879646e-04	4.416846e+00	4.245200e-01
9.204201833879647e-04	4.577269e+00	3.994398e-01
9.790139333879647e-04	4.712887e+00	3.710935e-01
1.037607683387965e-03	4.822966e+00	3.398559e-01
1.125498308387965e-03	4.938931e+00	2.883291e-01
1.213388933387965e-03	4.994709e+00	2.321520e-01
1.301279558387965e-03	4.989623e+00	1.723338e-01
1.389170183387965e-03	4.923731e+00	1.098351e-01
1.477060808387965e-03	4.797840e+00	4.558332e-02
1.535654558387965e-03	4.681306e+00	2.220843e-03
1.623545183387965e-03	4.459175e+00	-6.296150e-02
1.711435808387965e-03	4.182704e+00	-1.275459e-01
1.799326433387965e-03	3.855263e+00	-1.906969e-01
1.887217058387966e-03	3.480840e+00	-2.516105e-01
1.975107683387965e-03	3.064001e+00	-3.095197e-01
2.062998308387965e-03	2.609823e+00	-3.637012e-01
2.150888933387964e-03	2.123841e+00	-4.134822e-01
2.238779558387964e-03	1.611979e+00	-4.582470e-01
2.326670183387963e-03	1.080472e+00	-4.974437e-01
2.414560808387963e-03	5.357995e-01	-5.305900e-01
2.502451433387962e-03	-1.540279e-02	-5.572787e-01
2.590342058387961e-03	-5.664173e-01	-5.771823e-01
2.678232683387961e-03	-1.110530e+00	-5.900564e-01
2.766123308387960e-03	-1.641109e+00	-5.957432e-01
2.854013933387960e-03	-2.151689e+00	-5.941722e-01
2.941904558387959e-03	-2.636049e+00	-5.853623e-01
3.029795183387959e-03	-3.088286e+00	-5.694202e-01
3.117685808387958e-03	-3.502889e+00	-5.465398e-01
3.205576433387957e-03	-3.874805e+00	-5.169998e-01
3.293467058387957e-03	-4.199503e+00	-4.811601e-01
3.381357683387956e-03	-4.473026e+00	-4.394571e-01
3.469248308387956e-03	-4.692039e+00	-3.923992e-01
3.557138933387955e-03	-4.853876e+00	-3.405596e-01
3.645029558387955e-03	-4.956563e+00	-2.845700e-01
3.732920183387954e-03	-4.998848e+00	-2.251127e-01
3.820810808387953e-03	-4.980218e+00	-1.629122e-01
3.908701433387953e-03	-4.900898e+00	-9.872650e-02
3.996592058387954e-03	-4.761856e+00	-3.333773e-02
4.084482683387954e-03	-4.564785e+00	3.245727e-02
4.172373308387955e-03	-4.312088e+00	9.785674e-02
4.260263933387956e-03	-4.006843e+00	1.620637e-01
4.348154558387956e-03	-3.652771e+00	2.242957e-01
4.436045183387957e-03	-3.254186e+00	2.837945e-01
4.523935808387958e-03	-2.815945e+00	3.398349e-01
4.611826433387959e-03	-2.343389e+00	3.917341e-01
4.699717058387959e-03	-1.842276e+00	4.388595e-01
4.787607683387960e-03	-1.318713e+00	4.806370e-01
4.875498308387961e-03	-7.790797e-01	5.165575e-01
4.963388933387962e-03	-2.299530e-01	5.461830e-01
5.051279558387962e-03	3.219760e-01	5.691528e-01
5.139170183387963e-03	8.699814e-01	5.851870e-01
5.227060808387964e-03	1.407385e+00	5.940899e-01
5.314951433387964e-03	1.927638e+00	5.957532e-01
5.402842058387965e-03	2.424401e+00	5.901567e-01
5.490732683387966e-03	2.891620e+00	5.773684e-01
5.578623308387967e-03	3.323602e+00	5.575444e-01
5.666513933387967e-03	3.715082e+00	5.309260e-01
5.754404558387968e-03	4.061290e+00	4.978377e-01
5.842295183387969e-03	4.358006e+00	4.586828e-01
5.930185808387970e-03	4.601616e+00	4.139383e-01
6.018076433387970e-03	4.789150e+00	3.641496e-01
6.105967058387971e-03	4.918324e+00	3.099233e-01
6.193857683387972e-03	4.987562e+00	2.519203e-01
6.281748308387972e-03	4.996021e+00	1.908473e-01
6.369638933387973e-03	4.943599e+00	1.274487e-01
6.457529558387974e-03	4.830934e+00	6.249697e-02
6.545420183387975e-03	4.659399e+00	-3.216353e-03
6.633310808387975e-03	4.431084e+00	-6.889047e-02
6.721201433387976e-03	4.148771e+00	-1.337251e-01
6.809092058387977e-03	3.815901e+00	-1.969301e-01
6.896982683387978e-03	3.436531e+00	-2.577354e-01
6.984873308387978e-03	3.015283e+00	-3.153998e-01
7.072763933387979e-03	2.557290e+00	-3.692208e-01
7.160654558387980e-03	2.068134e+00	-4.185424e-01
7.248545183387980e-03	1.553776e+00	-4.627637e-01
7.336435808387981e-03	1.020483e+00	-5.013456e-01
7.424326433387982e-03	4.747548e-01	-5.338182e-01
7.512217058387983e-03	-7.675903e-02	-5.597856e-01
7.600107683387983e-03	-6.273374e-01	-5.789315e-01
7.687998308387984e-03	-1.170271e+00	-5.910224e-01
7.775888933387985e-03	-1.698944e+00	-5.959111e-01
7.863779558387985e-03	-2.206913e+00	-5.935380e-01
7.951670183387983e-03	-2.687989e+00	-5.839320e-01
8.039560808387981e-03	-3.136308e+00	-5.672102e-01
8.127451433387979e-03	-3.546409e+00	-5.435762e-01
8.215342058387977e-03	-3.913292e+00	-5.133183e-01
8.303232683387975e-03	-4.232488e+00	-4.768051e-01
8.391123308387973e-03	-4.500107e+00	-4.344814e-01
8.479013933387972e-03	-4.712887e+00	-3.868632e-01
8.566904558387970e-03	-4.868236e+00	-3.345306e-01
8.654795183387968e-03	-4.964260e+00	-2.781214e-01
8.742685808387966e-03	-4.999789e+00	-2.183230e-01
8.830576433387964e-03	-4.974391e+00	-1.558641e-01
8.918467058387962e-03	-4.888373e+00	-9.150580e-02
9.006357683387960e-03	-4.742787e+00	-2.603243e-02
9.094248308387958e-03	-4.539404e+00	3.975818e-02
9.182138933387957e-03	-4.280704e+00	1.050643e-01
9.270029558387955e-03	-3.969839e+00	1.690901e-01
9.357920183387953e-03	-3.610597e+00	2.310553e-01
9.445810808387951e-03	-3.207357e+00	2.902049e-01
9.533701433387949e-03	-2.765031e+00	3.458180e-01
9.621592058387947e-03	-2.289011e+00	3.972170e-01
9.709482683387945e-03	-1.785096e+00	4.437755e-01
9.797373308387943e-03	-1.259428e+00	4.849261e-01
9.885263933387942e-03	-7.184128e-01	5.201674e-01
9.973154558387940e-03	-1.686429e-01	5.490698e-01
1.003174830838794e-02	1.994276e-01	5.646393e-01
1.009034205838794e-02	5.664173e-01	5.771490e-01
1.017823268338794e-02	1.110530e+00	5.900327e-01
1.026612330838793e-02	1.641109e+00	5.957261e-01
1.035401393338793e-02	2.151689e+00	5.941601e-01
1.044190455838793e-02	2.636049e+00	5.853536e-01
1.052979518338793e-02	3.088286e+00	5.694139e-01
1.061768580838793e-02	3.502889e+00	5.465354e-01
1.070557643338792e-02	3.874805e+00	5.169966e-01
1.079346705838792e-02	4.199503e+00	4.811578e-01
1.088135768338792e-02	4.473026e+00	4.394555e-01
1.096924830838792e-02	4.692039e+00	3.923980e-01
1.105713893338792e-02	4.853876e+00	3.405588e-01
1.114502955838791e-02	4.956563e+00	2.845694e-01
1.123292018338791e-02	4.998848e+00	2.251123e-01
1.132081080838791e-02	4.980218e+00	1.629119e-01
1.140870143338791e-02	4.900898e+00	9.872628e-02
1.149659205838791e-02	4.761856e+00	3.333757e-02
1.158448268338791e-02	4.564785e+00	-3.245739e-02
1.167237330838790e-02	4.312088e+00	-9.785682e-02
1.176026393338790e-02	4.006843e+00	-1.620638e-01
1.184815455838790e-02	3.652771e+00	-2.242958e-01
1.193604518338790e-02	3.254186e+00	-2.837945e-01
1.202393580838790e-02	2.815945e+00	-3.398349e-01
1.211182643338789e-02	2.343389e+00	-3.917341e-01
1.219971705838789e-02	1.842276e+00	-4.388596e-01
1.228760768338789e-02	1.318713e+00	-4.806370e-01
1.237549830838789e-02	7.790797e-01	-5.165575e-01
1.246338893338789e-02	2.299530e-01	-5.461830e-01
1.255127955838788e-02	-3.219760e-01	-5.691529e-01
1.263917018338788e-02	-8.699814e-01	-5.851870e-01
1.272706080838788e-02	-1.407385e+00	-5.940899e-01
1.281495143338788e-02	-1.927638e+00	-5.957532e-01
1.290284205838788e-02	-2.424401e+00	-5.901567e-01
1.299073268338788e-02	-2.891620e+00	-5.773684e-01
1.307862330838787e-02	-3.323602e+00	-5.575444e-01
1.316651393338787e-02	-3.715082e+00	-5.309260e-01
1.325440455838787e-02	-4.061290e+00	-4.978377e-01
1.334229518338787e-02	-4.358006e+00	-4.586828e-01
1.343018580838787e-02	-4.601616e+00	-4.139383e-01
1.351807643338786e-02	-4.789150e+00	-3.641496e-01
1.360596705838786e-02	-4.918324e+00	-3.099233e-01
1.369385768338786e-02	-4.987562e+00	-2.519203e-01
1.378174830838786e-02	-4.996021e+00	-1.908473e-01
1.386963893338786e-02	-4.943599e+00	-1.274487e-01
1.395752955838785e-02	-4.830934e+00	-6.249697e-02
1.404542018338785e-02	-4.659399e+00	3.216353e-03
1.413331080838785e-02	-4.431084e+00	6.889047e-02
1.422120143338785e-02	-4.148771e+00	1.337251e-01
1.430909205838785e-02	-3.815901e+00	1.969301e-01
1.439698268338785e-02	-3.436531e+00	2.577354e-01
1.448487330838784e-02	-3.015283e+00	3.153998e-01
1.457276393338784e-02	-2.557290e+00	3.692208e-01
1.466065455838784e-02	-2.068134e+00	4.185424e-01
1.474854518338784e-02	-1.553776e+00	4.627637e-01
1.483643580838784e-02	-1.020483e+00	5.013456e-01
1.492432643338783e-02	-4.747548e-01	5.338182e-01
1.501221705838783e-02	7.675903e-02	5.597856e-01
1.510010768338783e-02	6.273374e-01	5.789315e-01
1.518799830838783e-02	1.170271e+00	5.910224e-01
1.527588893338783e-02	1.698944e+00	5.959111e-01
1.536377955838782e-02	2.206913e+00	5.935380e-01
1.545167018338782e-02	2.687989e+00	5.839320e-01
1.553956080838782e-02	3.136308e+00	5.672102e-01
1.562745143338782e-02	3.546409e+00	5.435762e-01
1.571534205838782e-02	3.913292e+00	5.133183e-01
1.580323268338783e-02	4.232488e+00	4.768051e-01
1.589112330838783e-02	4.500107e+00	4.344814e-01
1.597901393338783e-02	4.712887e+00	3.868632e-01
1.606690455838784e-02	4.868236e+00	3.345306e-01
1.615479518338784e-02	4.964260e+00	2.781214e-01
1.624268580838784e-02	4.999789e+00	2.183230e-01
1.633057643338785e-02	4.974391e+00	1.558641e-01
1.641846705838785e-02	4.888373e+00	9.150580e-02
1.650635768338785e-02	4.742787e+00	2.603243e-02
1.659424830838786e-02	4.539404e+00	-3.975818e-02
1.668213893338786e-02	4.280704e+00	-1.050643e-01
1.677002955838786e-02	3.969839e+00	-1.690901e-01
1.685792018338787e-02	3.610597e+00	-2.310553e-01
1.694581080838787e-02	3.207357e+00	-2.902049e-01
1.703370143338787e-02	2.765031e+00	-3.458180e-01
1.712159205838788e-02	2.289011e+00	-3.972170e-01
1.720948268338788e-02	1.785096e+00	-4.437755e-01
1.729737330838788e-02	1.259428e+00	-4.849261e-01
1.738526393338789e-02	7.184128e-01	-5.201674e-01
1.747315455838789e-02	1.686429e-01	-5.490698e-01
1.753174830838789e-02	-1.994276e-01	-5.646393e-01
1.759034205838789e-02	-5.664173e-01	-5.771490e-01
1.767823268338790e-02	-1.110530e+00	-5.900327e-01
1.776612330838790e-02	-1.641109e+00	-5.957261e-01
1.785401393338790e-02	-2.151689e+00	-5.941601e-01
1.794190455838791e-02	-2.636049e+00	-5.853536e-01
1.802979518338791e-02	-3.088286e+00	-5.694139e-01
1.811768580838791e-02	-3.502889e+00	-5.465354e-01
1.820557643338792e-02	-3.874805e+00	-5.169966e-01
1.829346705838792e-02	-4.199503e+00	-4.811578e-01
1.838135768338792e-02	-4.473026e+00	-4.394555e-01
1.846924830838793e-02	-4.692039e+00	-3.923980e-01
1.855713893338793e-02	-4.853876e+00	-3.405588e-01
1.864502955838793e-02	-4.956563e+00	-2.845694e-01
1.873292018338794e-02	-4.998848e+00	-2.251123e-01
1.882081080838794e-02	-4.980218e+00	-1.629119e-01
1.890870143338794e-02	-4.900898e+00	-9.872628e-02
1.899659205838795e-02	-4.761856e+00	-3.333757e-02
1.908448268338795e-02	-4.564785e+00	3.245739e-02
1.917237330838795e-02	-4.312088e+00	9.785682e-02
1.926026393338796e-02	-4.006843e+00	1.620638e-01
1.934815455838796e-02	-3.652771e+00	2.242958e-01
1.943604518338796e-02	-3.254186e+00	2.837945e-01
1.952393580838797e-02	-2.815945e+00	3.398349e-01
1.961182643338797e-02	-2.343389e+00	3.917341e-01
1.969971705838797e-02	-1.842276e+00	4.388596e-01
1.978760768338798e-02	-1.318713e+00	4.806370e-01
1.987549830838798e-02	-7.790797e-01	5.165575e-01
1.996338893338798e-02	-2.299530e-01	5.461830e-01
2.005127955838799e-02	3.219760e-01	5.691529e-01
2.013917018338799e-02	8.699814e-01	5.851870e-01
2.022706080838799e-02	1.407385e+00	5.940899e-01
2.031495143338800e-02	1.927638e+00	5.957532e-01
2.040284205838800e-02	2.424401e+00	5.901567e-01
2.049073268338800e-02	2.891620e+00	5.773684e-01
2.057862330838801e-02	3.323602e+00	5.575444e-01
2.066651393338801e-02	3.715082e+00	5.309260e-01
2.075440455838801e-02	4.061290e+00	4.978377e-01
2.084229518338802e-02	4.358006e+00	4.586828e-01
2.093018580838802e-02	4.601616e+00	4.139383e-01
2.101807643338802e-02	4.789150e+00	3.641496e-01
2.110596705838803e-02	4.918324e+00	3.099233e-01
