time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
3.428571549842934e-07	3.231354e-03	7.331570e-06
6.857143099685867e-07	6.462704e-03	2.768977e-05
1.028571464952880e-06	9.694050e-03	6.107461e-05
1.371428619937173e-06	1.292539e-02	1.074861e-04
1.714285774921467e-06	1.615673e-02	1.669242e-04
2.057142929905760e-06	1.938806e-02	2.393889e-04
2.400000084890053e-06	2.261939e-02	3.248803e-04
4.730406540814946e-06	4.458244e-02	1.159130e-03
8.054330596653647e-06	7.590736e-02	3.110957e-03
1.301257795879218e-05	1.226284e-01	7.497985e-03
1.954404691743331e-05	1.841566e-01	1.555689e-02
2.846108460735385e-05	2.681108e-01	2.990133e-02
3.987622093856478e-05	3.754707e-01	5.237439e-02
5.493718265821881e-05	5.168459e-01	8.657701e-02
7.425451663600349e-05	6.975495e-01	1.342227e-01
9.993402831736233e-05	9.362958e-01	1.990196e-01
1.292309033173623e-04	1.205963e+00	2.705861e-01
1.585277783173623e-04	1.471953e+00	3.368536e-01
1.878246533173623e-04	1.733456e+00	3.963139e-01
2.171215283173623e-04	1.989673e+00	4.485897e-01
2.464184033173623e-04	2.239824e+00	4.937948e-01
2.757152783173624e-04	2.483147e+00	5.322351e-01
3.050121533173624e-04	2.718899e+00	5.642793e-01
3.343090283173624e-04	2.946361e+00	5.903037e-01
3.636059033173625e-04	3.164840e+00	6.106703e-01
3.929027783173625e-04	3.373670e+00	6.257196e-01
4.221996533173625e-04	3.572215e+00	6.357690e-01
4.514965283173625e-04	3.759868e+00	6.411144e-01
4.807934033173626e-04	3.936058e+00	6.420320e-01
5.100902783173626e-04	4.100247e+00	6.387808e-01
5.393871533173626e-04	4.251936e+00	6.316050e-01
5.686840283173626e-04	4.390661e+00	6.207359e-01
5.979809033173627e-04	4.516000e+00	6.063939e-01
6.272777783173627e-04	4.627570e+00	5.887903e-01
6.565746533173627e-04	4.725032e+00	5.681285e-01
6.858715283173627e-04	4.808087e+00	5.446053e-01
7.151684033173628e-04	4.876484e+00	5.184120e-01
7.444652783173628e-04	4.930013e+00	4.897355e-01
7.737621533173628e-04	4.968511e+00	4.587591e-01
8.323559033173629e-04	4.999991e+00	3.906231e-01
8.909496533173629e-04	4.970542e+00	3.154149e-01
9.495434033173630e-04	4.880521e+00	2.345152e-01
9.788402783173630e-04	4.813110e+00	1.923558e-01
1.008137153317363e-03	4.731025e+00	1.492805e-01
1.037434028317363e-03	4.634516e+00	1.054558e-01
1.066730903317363e-03	4.523878e+00	6.104624e-02
1.096027778317363e-03	4.399446e+00	1.621524e-02
1.154621528317363e-03	4.110764e+00	-7.406649e-02
1.213215278317363e-03	3.771987e+00	-1.641199e-01
1.271809028317363e-03	3.387245e+00	-2.527123e-01
1.330402778317363e-03	2.961226e+00	-3.386559e-01
1.388996528317363e-03	2.499121e+00	-4.208169e-01
1.447590278317363e-03	2.006562e+00	-4.981250e-01
1.506184028317363e-03	1.489551e+00	-5.695829e-01
1.564777778317364e-03	9.543876e-01	-6.342756e-01
1.623371528317364e-03	4.075943e-01	-6.913795e-01
1.681965278317364e-03	-1.441660e-01	-7.401705e-01
1.740559028317364e-03	-6.941695e-01	-7.800316e-01
1.799152778317364e-03	-1.235714e+00	-8.104588e-01
1.857746528317364e-03	-1.762200e+00	-8.310671e-01
1.916340278317364e-03	-2.267211e+00	-8.415939e-01
1.974934028317364e-03	-2.744594e+00	-8.419015e-01
2.033527778317364e-03	-3.188532e+00	-8.319790e-01
2.092121528317363e-03	-3.593614e+00	-8.119414e-01
2.150715278317363e-03	-3.954903e+00	-7.820281e-01
2.209309028317362e-03	-4.267998e+00	-7.425998e-01
2.267902778317362e-03	-4.529083e+00	-6.941342e-01
2.326496528317362e-03	-4.734977e+00	-6.372194e-01
2.385090278317361e-03	-4.883169e+00	-5.725470e-01
2.443684028317361e-03	-4.971855e+00	-5.009037e-01
2.502277778317360e-03	-4.999954e+00	-4.231611e-01
2.560871528317360e-03	-4.967123e+00	-3.402658e-01
2.619465278317360e-03	-4.873762e+00	-2.532271e-01
2.678059028317359e-03	-4.721009e+00	-1.631051e-01
2.736652778317359e-03	-4.510726e+00	-7.099740e-02
2.795246528317359e-03	-4.245475e+00	2.197385e-02
2.853840278317358e-03	-3.928488e+00	1.146761e-01
2.912434028317358e-03	-3.563629e+00	2.059798e-01
2.971027778317357e-03	-3.155343e+00	2.947726e-01
3.029621528317357e-03	-2.708605e+00	3.799727e-01
3.088215278317357e-03	-2.228861e+00	4.605419e-01
3.146809028317356e-03	-1.721955e+00	5.354985e-01
3.205402778317356e-03	-1.194066e+00	6.039291e-01
3.263996528317355e-03	-6.516252e-01	6.650000e-01
3.322590278317355e-03	-1.012440e-01	7.179669e-01
3.381184028317355e-03	4.503709e-01	7.621844e-01
3.439777778317354e-03	9.964976e-01	7.971138e-01
3.498371528317354e-03	1.530481e+00	8.223294e-01
3.556965278317354e-03	2.045814e+00	8.375239e-01
3.615559028317353e-03	2.536216e+00	8.425124e-01
3.674152778317353e-03	2.995712e+00	8.372338e-01
3.732746528317352e-03	3.418702e+00	8.217525e-01
3.791340278317352e-03	3.800031e+00	7.962574e-01
3.849934028317352e-03	4.135053e+00	7.610589e-01
3.908527778317352e-03	4.419685e+00	7.165862e-01
